hbm_id,cycles,mem_cycles,avg_latency,repair_none,repair_layer_a,repair_layer_b,repair_layer_c,repair_layer_d,total_repaired,K,bad_banks,ded_rows
0,3695363.0,3695905.0,26.10206865625,586896,0,76,1,0,77,0,0,699
1,3695297.0,3695889.0,26.1012622125,579150,1,39,1,7782,7823,228,7,679
2,3695312.0,3695904.0,26.101058125,583463,0,47,2,3461,3510,97,3,655
3,3695363.0,3695905.0,26.10206865625,586931,0,40,2,0,42,0,0,668
4,3695276.0,3695892.0,26.1011871125,581299,3,54,1,5616,5674,162,5,673
5,3695320.0,3695879.0,26.1013729375,576513,0,52,1,10407,10460,294,9,707
6,3695319.0,3695898.0,26.10124635,574158,0,52,4,12759,12815,360,11,649
7,3695332.0,3695885.0,26.1011224875,583389,0,56,0,3528,3584,97,3,658
8,3695322.0,3695902.0,26.1014448375,583549,2,42,0,3380,3424,97,3,654
9,3695314.0,3695890.0,26.10116398125,572112,0,57,1,14803,14861,427,13,635
10,3695363.0,3695905.0,26.10206865625,586922,0,50,1,0,51,0,0,690
11,3695363.0,3695905.0,26.10206865625,586924,1,47,1,0,49,0,0,636
12,3695303.0,3695905.0,26.1014198125,576518,0,47,4,10404,10455,294,9,699
13,3695335.0,3695899.0,26.10125146875,582252,0,55,2,4664,4721,130,4,660
15,3695342.0,3695900.0,26.101565,574673,0,41,1,12258,12300,360,11,632
16,3695330.0,3695904.0,26.10146058125,585795,0,54,0,1124,1178,33,1,684
17,3695321.0,3695884.0,26.1015374625,578997,0,67,4,7905,7976,228,7,671
18,3695294.0,3695889.0,26.10109293125,570877,0,41,2,16053,16096,461,14,643
19,3695318.0,3695896.0,26.1013641375,577770,1,55,1,9146,9203,261,8,692
20,3695293.0,3695880.0,26.101331225,582527,0,41,1,4404,4446,130,4,680
21,3695327.0,3695905.0,26.1012015375,584480,0,46,1,2446,2493,65,2,664
22,3695363.0,3695905.0,26.10206865625,586936,1,35,1,0,37,0,0,669
23,3695363.0,3695905.0,26.10206865625,586920,1,52,0,0,53,0,0,717
24,3695305.0,3695876.0,26.1011433625,577615,0,52,0,9306,9358,261,8,670
25,3695314.0,3695896.0,26.10137651875,573827,2,52,0,13092,13146,360,11,652
26,3695303.0,3695892.0,26.1012960625,584571,0,48,1,2353,2402,65,2,702
27,3695326.0,3695890.0,26.101156,572235,0,46,2,14690,14738,427,13,652
28,3695339.0,3695908.0,26.10113190625,575374,2,41,0,11556,11599,327,10,662
29,3695308.0,3695888.0,26.101302625,572017,1,58,2,14895,14956,427,13,668
30,3695294.0,3695900.0,26.10124205,585710,0,54,0,1209,1263,33,1,684
31,3695363.0,3695905.0,26.10206865625,586929,1,43,0,0,44,0,0,639
32,3695302.0,3695891.0,26.10121714375,572049,2,42,2,14878,14924,427,13,654
33,3695302.0,3695892.0,26.10140825625,579074,1,44,1,7853,7899,228,7,672
34,3695341.0,3695903.0,26.1014310125,571047,0,42,0,15884,15926,461,14,650
35,3695363.0,3695905.0,26.10206865625,586918,0,51,4,0,55,0,0,714
36,3695327.0,3695887.0,26.10128474375,582295,0,61,2,4615,4678,130,4,648
37,3695363.0,3695905.0,26.10206865625,586927,0,45,1,0,46,0,0,672
38,3695318.0,3695887.0,26.101237525,576716,0,46,1,10210,10257,294,9,680
39,3695326.0,3695890.0,26.10115026875,583465,1,22,0,3485,3508,97,3,683
40,3695328.0,3695901.0,26.1011958,583567,1,62,3,3340,3406,97,3,624
41,3695363.0,3695905.0,26.10206865625,586927,0,44,2,0,46,0,0,687
42,3695363.0,3695905.0,26.10206865625,586929,1,42,1,0,44,0,0,721
43,3695322.0,3695887.0,26.10113228125,584753,0,47,0,2173,2220,65,2,686
44,3695300.0,3695862.0,26.10124098125,577954,0,59,2,8958,9019,261,8,683
45,3695363.0,3695905.0,26.10206865625,586922,3,47,1,0,51,0,0,655
46,3695311.0,3695901.0,26.10136531875,579853,2,49,2,7067,7120,195,6,680
47,3695301.0,3695892.0,26.10132599375,578724,1,48,0,8200,8249,228,7,674
48,3695300.0,3695896.0,26.10104990625,578670,0,60,1,8242,8303,228,7,678
50,3695330.0,3695899.0,26.10125768125,571003,2,42,2,15924,15970,461,14,626
51,3695298.0,3695890.0,26.10115396875,572271,0,62,4,14636,14702,427,13,669
52,3695283.0,3695893.0,26.1011357125,571172,1,40,4,15756,15801,461,14,661
53,3695323.0,3695886.0,26.1010011375,583455,0,47,1,3470,3518,97,3,658
54,3695363.0,3695905.0,26.10206865625,586907,0,64,2,0,66,0,0,668
55,3695308.0,3695897.0,26.10126745625,576371,0,41,0,10561,10602,294,9,673
56,3695363.0,3695905.0,26.10206865625,586910,0,62,1,0,63,0,0,651
57,3695358.0,3695898.0,26.10145460625,583666,0,59,2,3246,3307,97,3,666
58,3695363.0,3695905.0,26.10206865625,586932,1,39,1,0,41,0,0,704
59,3695340.0,3695902.0,26.1011889,585623,0,44,4,1302,1350,33,1,702
60,3695321.0,3695898.0,26.1011536125,575719,2,63,1,11188,11254,327,10,686
61,3695323.0,3695886.0,26.10133981875,585830,2,44,5,1092,1143,33,1,664
62,3695320.0,3695891.0,26.100925450000002,572935,0,59,2,13977,14038,394,12,670
63,3695281.0,3695889.0,26.1012865375,582350,0,43,4,4576,4623,130,4,669
64,3695294.0,3695887.0,26.10132063125,579801,0,52,4,7116,7172,195,6,686
65,3695340.0,3695907.0,26.10129594375,579100,2,37,2,7832,7873,228,7,672
66,3695338.0,3695897.0,26.10122466875,571094,0,48,0,15831,15879,461,14,660
67,3695267.0,3695871.0,26.10107338125,583459,0,47,0,3467,3514,97,3,656
68,3695308.0,3695895.0,26.10122489375,585746,0,48,2,1177,1227,33,1,685
70,3695348.0,3695907.0,26.10141086875,573303,0,40,3,13627,13670,394,12,634
71,3695282.0,3695882.0,26.1010358375,572025,0,52,3,14893,14948,427,13,659
72,3695317.0,3695896.0,26.10107088125,584657,0,44,0,2272,2316,65,2,644
73,3695363.0,3695905.0,26.10206865625,586927,0,45,1,0,46,0,0,674
74,3695331.0,3695901.0,26.10118090625,574418,2,46,0,12507,12555,360,11,660
75,3695363.0,3695905.0,26.10206865625,586915,0,58,0,0,58,0,0,668
76,3695336.0,3695900.0,26.10138166875,582307,2,46,0,4618,4666,130,4,693
77,3695363.0,3695905.0,26.10206865625,586925,2,42,4,0,48,0,0,659
78,3695300.0,3695879.0,26.10124230625,575722,0,55,0,11196,11251,327,10,671
79,3695317.0,3695889.0,26.10129201875,571975,0,45,3,14950,14998,427,13,634
80,3695331.0,3695894.0,26.1012707875,574247,1,58,2,12665,12726,360,11,662
81,3695319.0,3695896.0,26.101056225,577761,0,42,1,9169,9212,261,8,686
82,3695288.0,3695882.0,26.10123395,569567,3,52,2,17349,17406,495,15,637
83,3695341.0,3695904.0,26.10140703125,585751,2,48,2,1170,1222,33,1,721
84,3695336.0,3695895.0,26.1013462625,577459,0,43,1,9470,9514,261,8,643
85,3695363.0,3695905.0,26.10206865625,586909,0,64,0,0,64,0,0,708
86,3695337.0,3695907.0,26.10148811875,573279,0,43,2,13649,13694,394,12,655
87,3695338.0,3695898.0,26.10137093125,583329,0,39,3,3602,3644,97,3,649
88,3695323.0,3695904.0,26.1011787625,578859,0,41,2,8071,8114,228,7,636
89,3695332.0,3695893.0,26.1013366,576878,1,41,2,10051,10095,294,9,671
90,3695335.0,3695898.0,26.1011563375,576508,0,47,0,10418,10465,294,9,664
91,3695363.0,3695905.0,26.10206865625,586922,0,49,2,0,51,0,0,693
92,3695363.0,3695905.0,26.10206865625,586922,1,49,1,0,51,0,0,714
93,3695348.0,3695900.0,26.101275556250002,579943,1,54,4,6971,7030,195,6,644
94,3695295.0,3695885.0,26.10125506875,585810,0,46,1,1116,1163,33,1,669
95,3695349.0,3695899.0,26.10152195625,582307,0,48,0,4618,4666,130,4,683
96,3695318.0,3695896.0,26.100939750000002,580978,0,36,2,5957,5995,162,5,656
97,3695314.0,3695886.0,26.10119605,574155,0,57,3,12758,12818,360,11,703
98,3695340.0,3695896.0,26.10132168125,582444,0,39,1,4489,4529,130,4,653
99,3695313.0,3695871.0,26.101218225,573741,0,42,0,13190,13232,394,12,656
100,3695363.0,3695905.0,26.10206865625,586922,0,49,2,0,51,0,0,730
101,3695334.0,3695906.0,26.10125314375,581239,0,56,1,5677,5734,162,5,664
102,3695304.0,3695888.0,26.1013522125,570589,0,60,0,16324,16384,461,14,712
103,3695326.0,3695904.0,26.10124205625,576669,0,34,0,10270,10304,294,9,674
104,3695285.0,3695883.0,26.1014002625,585719,1,44,4,1205,1254,33,1,708
105,3695328.0,3695894.0,26.10120475625,575206,6,59,2,11700,11767,327,10,698
106,3695283.0,3695880.0,26.1011943875,580043,2,49,1,6878,6930,195,6,715
108,3695270.0,3695890.0,26.10128165,585864,0,37,3,1069,1109,33,1,687
109,3695363.0,3695905.0,26.10206865625,586920,0,52,1,0,53,0,0,689
110,3695326.0,3695900.0,26.10150288125,583643,0,65,1,3264,3330,97,3,707
111,3695363.0,3695905.0,26.10206865625,586928,1,42,2,0,45,0,0,667
